equalContribution,appreciation,cooperation,freedom,equality,SocialOrder,Influence,size,isEff,femalePercent,IntrovertPercent,IntuitionPercent,ThinkingPercent,JudgementPercent
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,3,Yes,FPHigh,IEHigh,INHigh,TFLow,JPLow
Yes,Yes,Yes,Yes,Yes,Yes,Positive,3,Yes,FPHigh,IEHigh,INLow,TFLow,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,4,Mod,FPLow,IELow,INLow,TFHigh,JPHigh
No,No,No,Yes,No,No,Negative,3,No,FPHigh,IELow,INHigh,TFLow,JPLow
Yes,Yes,Yes,Yes,Yes,Yes,Negative,3,No,FPLow,IELow,INHigh,TFLow,JPHigh
Yes,No,Yes,Yes,Yes,Yes,Positive,3,Mod,FPHigh,IEHigh,INLow,TFLow,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Positive,3,No,FPLow,IEHigh,INHigh,TFLow,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Negative,3,No,FPLow,IELow,INHigh,TFHigh,JPLow
Yes,Yes,Yes,Yes,Yes,Yes,Positive,3,Yes,FPLow,IEHigh,INHigh,TFHigh,JPHigh
No,No,No,No,No,No,Negative,3,Mod,FPLow,IELow,INHigh,TFHigh,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,3,Yes,FPLow,IELow,INLow,TFHigh,JPHigh
No,No,No,Yes,No,No,Negative,4,No,FPHigh,IEHigh,INHigh,TFLow,JPHigh
Yes,Yes,Yes,No,Yes,Yes,Negative,3,No,FPHigh,IELow,INHigh,TFLow,JPLow
No,No,No,Yes,No,No,Negative,4,No,FPHigh,IELow,INHigh,TFHigh,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,3,Yes,FPLow,IEHigh,INHigh,TFHigh,JPHigh
No,No,No,No,No,No,Negative,3,Mod,FPLow,IELow,INHigh,TFLow,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Positive,4,Yes,FPHigh,IEHigh,INHigh,TFHigh,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Positive,3,Mod,FPLow,IELow,INHigh,TFHigh,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,3,Yes,FPLow,IELow,INLow,TFHigh,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,4,Yes,FPLow,IEHigh,INLow,TFHigh,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,4,Yes,FPLow,IEHigh,INHigh,TFHigh,JPHigh
No,No,No,Yes,No,No,Negative,4,No,FPLow,IELow,INLow,TFLow,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Positive,4,Mod,FPHigh,IELow,INLow,TFHigh,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Negative,4,No,FPLow,IEHigh,INHigh,TFLow,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Negative,4,No,FPHigh,IELow,INHigh,TFHigh,JPHigh
No,No,No,Yes,No,No,Negative,4,Mod,FPLow,IELow,INHigh,TFHigh,JPHigh
No,Yes,No,Yes,No,Yes,Neutral,4,Mod,FPLow,IELow,INHigh,TFHigh,JPLow
Yes,Yes,Yes,Yes,Yes,Yes,Positive,3,Yes,FPLow,IEHigh,INHigh,TFLow,JPLow
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,4,Mod,FPLow,IELow,INHigh,TFHigh,JPHigh
No,Yes,Yes,Yes,Yes,Yes,Neutral,4,Mod,FPHigh,IELow,INHigh,TFHigh,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,3,Yes,FPHigh,IEHigh,INHigh,TFHigh,JPHigh
No,No,No,Yes,No,No,Negative,3,No,FPHigh,IELow,INHigh,TFLow,JPHigh
No,No,Yes,Yes,No,No,Negative,3,No,FPLow,IELow,INHigh,TFHigh,JPHigh
No,No,No,No,No,No,Negative,3,Mod,FPHigh,IELow,INHigh,TFLow,JPLow
No,No,No,No,No,No,Negative,4,Mod,FPHigh,IELow,INHigh,TFHigh,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Negative,3,No,FPLow,IEHigh,INHigh,TFLow,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Positive,4,Yes,FPHigh,IEHigh,INHigh,TFLow,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,4,Mod,FPLow,IELow,INHigh,TFHigh,JPLow
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,4,No,FPLow,IELow,INHigh,TFLow,JPLow
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,3,No,FPHigh,IELow,INHigh,TFLow,JPLow
No,No,No,No,No,No,Negative,3,Mod,FPLow,IELow,INLow,TFHigh,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Positive,4,Yes,FPHigh,IEHigh,INLow,TFLow,JPHigh
No,Yes,Yes,Yes,Yes,Yes,Positive,4,No,FPHigh,IELow,INLow,TFLow,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Positive,3,No,FPLow,IEHigh,INHigh,TFHigh,JPLow
No,No,No,No,No,No,Negative,3,No,FPHigh,IELow,INHigh,TFHigh,JPHigh
Yes,Yes,Yes,Yes,Yes,Yes,Neutral,3,Yes,FPHigh,IEHigh,INHigh,TFLow,JPLow
